date,invoice_id,customer,category,product,qty,unit_price,gst_rate
2026-01-05,INV-1001,Sharma Traders,Stationery,Ledger Book,10,120,0.12
2026-01-05,INV-1001,Sharma Traders,Stationery,Pen Box,5,80,0.12
2026-01-08,INV-1002,Mehta Bank Supplies,Electronics,Calculator,3,450,0.18
2026-01-12,INV-1003,Patel Retail,Grocery,Rice 5kg,20,350,0.05
2026-01-15,INV-1004,Sharma Traders,Electronics,USB Drive,8,299,0.18
2026-01-18,INV-1005,Gupta & Co,Services,Accounting Consult,1,5000,0.18
2026-01-22,INV-1006,Mehta Bank Supplies,Stationery,A4 Paper Ream,15,250,0.12
2026-01-25,INV-1007,Patel Retail,Grocery,Cooking Oil 1L,30,160,0.05
2026-02-01,INV-1008,Gupta & Co,Electronics,Printer Ink,4,890,0.18
2026-02-05,INV-1009,Sharma Traders,Services,GST Filing Help,1,2500,0.18
2026-02-10,INV-1010,Patel Retail,Stationery,Invoice Pad,12,45,0.12
2026-02-14,INV-1011,Mehta Bank Supplies,Electronics,Barcode Scanner,2,3200,0.18
